Src_IP,Dst_IP,Protocol,Packet_Size,Duration,Reconstruction_Error,Anomaly
192.168.1.2,10.0.0.1,1,350,0.8,0.43203667768141546,False
192.168.1.3,10.0.0.2,2,420,1.2,1.8457384121215854,False
192.168.1.4,10.0.0.3,1,380,0.9,0.6017369653586665,False
192.168.1.5,10.0.0.4,3,200,0.4,1.6254350399473543,False
192.168.1.6,10.0.0.5,1,500,1.0,0.7948904363827799,False
192.168.1.7,10.0.0.6,2,480,1.1,1.556922851899075,False
192.168.1.8,10.0.0.7,3,220,0.5,1.698303538876602,False
192.168.1.9,10.0.0.8,1,400,0.9,0.5981297197551619,False
192.168.1.10,10.0.0.9,2,460,1.2,1.8405124458388107,False
192.168.1.11,10.0.0.10,1,340,0.7,0.29286826168842445,False
192.168.1.12,10.0.0.11,2,450,1.3,2.1586554802163964,False
192.168.1.13,10.0.0.12,3,210,0.3,1.5820622867744707,False
192.168.1.14,10.0.0.13,1,370,0.8,0.4280019594987127,False
192.168.1.15,10.0.0.14,2,490,1.0,1.319779425813313,False
192.168.1.16,10.0.0.15,3,230,0.6,1.8029263420950024,False
192.168.1.17,10.0.0.16,1,800,2.5,8.170294357011128,False
192.168.1.18,10.0.0.17,2,850,2.8,10.983997117728741,False
192.168.1.19,10.0.0.18,3,900,3.0,13.920750576046279,False
192.168.1.20,10.0.0.19,1,950,3.2,14.336776075133336,False
192.168.1.21,10.0.0.20,2,1000,3.4,16.782617099569986,True
